MW2,MW1,1
MW1,RCOS,1
RCOS,COS,1
RCOS,AVF1,1
AVF1,RCOS,1
COS,RCOS,1
AVF1,CC1,2
CC1,CC2,2
CC2,ACC,2
ACC,CC3,2
CC3,CC4,2
CC4,GACC,1
GACC,CC5,1
CC5,CC6,1
CC6,JLMCC,1
JLMCC,CC7,1
CC7,CC8,1
CC8,MECC,1
MECC,CC9,2
CC9,CC10,2
CC10,CALCC,2
CALCC,CC11,1
CC11,CC12,1
CC12,LVCC,1
LVCC,CC13,1
CC13,CC14,1
CC14,ICC,1
ICC,CC15,1
CC15,CC16,1
CC16,HCC,1
HCC,CC17,1
CC17,CC18,1
CC18,AVI3,1
AVI3,AVI2,1
AVI2,AVI3,1
AVI3,AVI4,1
AVI4,AVI3,1
AVI4,CM18,1
CM18,CM17,1
CM17,HCM,1
HCM,CM16,1
CM16,CM15,1
CM15,ICM,1
ICM,CM14,1
CM14,CM13,2
CM13,LVCM,2
LVCM,CM12,2
CM12,CM11,2
CM11,CALCM,1
CALCM,CM10,2
CM10,CM9,2
CM9,MECM,2
MECM,CM8,2
CM8,CM7,2
CM7,JLMCM,1
JLMCM,CM6,1
CM6,CM5,1
CM5,GACM,1
GACM,CM4,1
CM4,CM3,1
CM3,ACM,1
ACM,CM2,1
CM2,CM1,1
CM1,AVF2,1
AVF2,AVF1,1
AVF1,AVF2,1
AVF2,AVF3,1
AVF3,AVF2,1
AVF3,TRP1,1
TRP1,TRP2,1
TRP2,ATRP,1
ATRP,TRP3,1
TRP3,TRP4,1
TRP4,GATRP,1
GATRP,TRP5,1
TRP5,TRP6,1
TRP6,JLMTRP,1
JLMTRP,TRP7,1
TRP7,TRP8,2
TRP8,METRP,2
METRP,TRP9,2
TRP9,TRP10,2
TRP10,CALTRP,2
CALTRP,TRP11,1
TRP11,TRP12,1
TRP12,LVTRP,1
LVTRP,TRP13,1
TRP13,TRP14,1
TRP14,ITRP,1
ITRP,TRP15,1
TRP15,TRP16,1
TRP16,HTRP,1
HTRP,TRP17,1
TRP17,TRP18,1
TRP18,AVI5,1
AVI5,AVI4,1
AVI4,AVI5,1
AVI5,AVI6,1
AVI6,AVI5,1
AVI6,V18,1
V18,V17,1
V17,HV,1
HV,V16,1
V16,V15,1
V15,IV,1
IV,V14,1
V14,V13,1
V13,LVV,1
LVV,V12,1
V12,V11,1
V11,CALV,1
CALV,V10,1
V10,V9,1
V9,MEV,1
MEV,V8,1
V8,V7,1
V7,JLMV,1
JLMV,V6,1
V6,V5,1
V5,GAV,1
GAV,V4,1
V4,V3,1
V3,AV,1
AV,V2,1
V2,V1,1
V1,AVF4,1
AVF4,AVF3,1
AVF3,AVF4,1
AVF4,AVF5,1
AVF5,AVF4,1
AVF5,VM1,1
VM1,VM2,1
VM2,AVM,1
AVM,VM3,1
VM3,VM4,1
VM4,GAVM,1
GAVM,VM5,1
VM5,VM6,1
VM6,JLMVM,1
JLMVM,VM7,1
VM7,VM8,1
VM8,MEVM,1
MEVM,VM9,1
VM9,VM10,1
VM10,CALVM,1
CALVM,VM11,1
VM11,VM12,1
VM12,LVVM,1
LVVM,VM13,1
VM13,VM14,1
VM14,IVM,1
IVM,VM15,1
VM15,VM16,1
VM16,HVM,1
HVM,VM17,1
VM17,VM18,1
VM18,AVI7,1
AVI7,AVI6,1
AVI6,AVI7,1
AVI7,AVI8,1
AVI8,AVI7,1
AVI8,CN18,1
CN18,CN17,1
CN17,HCN,1
HCN,CN16,1
CN16,CN15,1
CN15,ICN,1
ICN,CN14,1
CN14,CN13,1
CN13,LVCN,1
LVCN,CN12,1
CN12,CN11,1
CN11,CALCN,1
CALCN,CN10,1
CN10,CN9,1
CN9,MECN,1
MECN,CN8,1
CN8,CN7,1
CN7,JLMCN,1
JLMCN,CN6,1
CN6,CN5,1
CN5,GACN,1
GACN,CN4,1
CN4,CN3,1
CN3,ACN,1
ACN,CN2,1
CN2,CN1,1
CN1,AVF6,1
AVF6,AVC8,2
AVC8,AVF6,2
AVC1,AVI8,2
AVI8,AVC1,2
AVF6,AVF5,2
AVF5,AVF6,2
